;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 5/10/2017 9:00:36 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x036B940C  	JMP        _main
0x0004	0x0000940C  	JMP        0
0x0008	0x0000940C  	JMP        0
0x000C	0x0000940C  	JMP        0
0x0010	0x0000940C  	JMP        0
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x0000940C  	JMP        0
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x0000940C  	JMP        0
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x0000940C  	JMP        0
0x0050	0x0000940C  	JMP        0
_main:
0x06D6	0xE5BF    	LDI        R27, 95
0x06D8	0xBFBD    	OUT        SPL+0, R27
0x06DA	0xE0B4    	LDI        R27, 4
0x06DC	0xBFBE    	OUT        SPL+1, R27
0x06DE	0x040E940E  	CALL       1038
0x06E2	0xB7CD    	IN         R28, SPL+0
0x06E4	0xB7DE    	IN         R29, SPL+1
0x06E6	0x9722    	SBIW       R28, 2
0x06E8	0xBFCD    	OUT        SPL+0, R28
0x06EA	0xBFDE    	OUT        SPL+1, R29
0x06EC	0x9621    	ADIW       R28, 1
;lm35.c,17 :: 		void main()
;lm35.c,19 :: 		LCD_Init();
0x06EE	0x922F    	PUSH       R2
0x06F0	0x923F    	PUSH       R3
0x06F2	0x924F    	PUSH       R4
0x06F4	0x925F    	PUSH       R5
0x06F6	0xDE8B    	RCALL      _Lcd_Init+0
;lm35.c,20 :: 		ADC_Init();
0x06F8	0xDFA1    	RCALL      _ADC_Init+0
;lm35.c,22 :: 		LCD_Cmd(_LCD_CLEAR);
0x06FA	0xE0B1    	LDI        R27, 1
0x06FC	0x2E2B    	MOV        R2, R27
0x06FE	0xDDDE    	RCALL      _Lcd_Cmd+0
;lm35.c,23 :: 		LCD_Cmd(_LCD_CURSOR_OFF);
0x0700	0xE0BC    	LDI        R27, 12
0x0702	0x2E2B    	MOV        R2, R27
0x0704	0xDDDB    	RCALL      _Lcd_Cmd+0
;lm35.c,24 :: 		LCD_Out(1,1,"Temperature");
0x0706	0xE7B2    	LDI        R27, lo_addr(?lstr1_lm35+0)
0x0708	0x2E4B    	MOV        R4, R27
0x070A	0xE0B0    	LDI        R27, hi_addr(?lstr1_lm35+0)
0x070C	0x2E5B    	MOV        R5, R27
0x070E	0xE0B1    	LDI        R27, 1
0x0710	0x2E3B    	MOV        R3, R27
0x0712	0xE0B1    	LDI        R27, 1
0x0714	0x2E2B    	MOV        R2, R27
0x0716	0xDE34    	RCALL      _Lcd_Out+0
