;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 4/29/2017 12:06:02 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x021D940C  	JMP        _main
0x0004	0x0000940C  	JMP        0
0x0008	0x0000940C  	JMP        0
0x000C	0x0000940C  	JMP        0
0x0010	0x0000940C  	JMP        0
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x0000940C  	JMP        0
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x0000940C  	JMP        0
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x0000940C  	JMP        0
0x0050	0x0000940C  	JMP        0
_main:
0x043A	0xE5BF    	LDI        R27, 95
0x043C	0xBFBD    	OUT        SPL+0, R27
0x043E	0xE0B4    	LDI        R27, 4
0x0440	0xBFBE    	OUT        SPL+1, R27
0x0442	0x02AB940E  	CALL       683
0x0446	0xB7CD    	IN         R28, SPL+0
0x0448	0xB7DE    	IN         R29, SPL+1
0x044A	0x9722    	SBIW       R28, 2
0x044C	0xBFCD    	OUT        SPL+0, R28
0x044E	0xBFDE    	OUT        SPL+1, R29
0x0450	0x9621    	ADIW       R28, 1
;16x2 lcd library.c,17 :: 		void main()
;16x2 lcd library.c,19 :: 		int val=0;
0x0452	0x922F    	PUSH       R2
0x0454	0x923F    	PUSH       R3
0x0456	0x924F    	PUSH       R4
;16x2 lcd library.c,21 :: 		LCD_Init();
0x0458	0xDE77    	RCALL      _Lcd_Init+0
;16x2 lcd library.c,23 :: 		LCD_Cmd(_LCD_CURSOR_OFF);
0x045A	0xE0BC    	LDI        R27, 12
0x045C	0x2E2B    	MOV        R2, R27
0x045E	0xDF8B    	RCALL      _Lcd_Cmd+0
;16x2 lcd library.c,25 :: 		for(val=0; val<100; val++)
0x0460	0xE0B0    	LDI        R27, 0
0x0462	0x83B8    	STD        Y+0, R27
0x0464	0x83B9    	STD        Y+1, R27
L_main0:
0x0466	0x8128    	LDD        R18, Y+0
0x0468	0x8139    	LDD        R19, Y+1
0x046A	0xE604    	LDI        R16, 100
0x046C	0xE010    	LDI        R17, 0
0x046E	0x1720    	CP         R18, R16
0x0470	0x0731    	CPC        R19, R17
0x0472	0xF00C    	BRLT       L__main6
0x0474	0xC066    	RJMP       L_main1
L__main6:
;16x2 lcd library.c,27 :: 		LCD_Chr(1,1,arr[val/1000%10]);
0x0476	0xEE48    	LDI        R20, 232
0x0478	0xE053    	LDI        R21, 3
0x047A	0x8108    	LDD        R16, Y+0
0x047C	0x8119    	LDD        R17, Y+1
0x047E	0xDDFE    	RCALL      _Div_16x16_S+0
0x0480	0x018B    	MOVW       R16, R22
0x0482	0xE04A    	LDI        R20, 10
0x0484	0xE050    	LDI        R21, 0
0x0486	0xDDFA    	RCALL      _Div_16x16_S+0
0x0488	0x018C    	MOVW       R16, R24
0x048A	0xE620    	LDI        R18, lo_addr(_arr+0)
0x048C	0xE030    	LDI        R19, hi_addr(_arr+0)
0x048E	0x01F8    	MOVW       R30, R16
0x0490	0x0FE2    	ADD        R30, R18
0x0492	0x1FF3    	ADC        R31, R19
0x0494	0x8100    	LD         R16, Z
0x0496	0x2E40    	MOV        R4, R16
0x0498	0xE0B1    	LDI        R27, 1
0x049A	0x2E3B    	MOV        R3, R27
0x049C	0xE0B1    	LDI        R27, 1
0x049E	0x2E2B    	MOV        R2, R27
0x04A0	0xDE17    	RCALL      _Lcd_Chr+0
;16x2 lcd library.c,28 :: 		LCD_Chr(1,2,arr[val/100%10]);
0x04A2	0xE644    	LDI        R20, 100
0x04A4	0xE050    	LDI        R21, 0
0x04A6	0x8108    	LDD        R16, Y+0
0x04A8	0x8119    	LDD        R17, Y+1
0x04AA	0xDDE8    	RCALL      _Div_16x16_S+0
0x04AC	0x018B    	MOVW       R16, R22
0x04AE	0xE04A    	LDI        R20, 10
0x04B0	0xE050    	LDI        R21, 0
0x04B2	0xDDE4    	RCALL      _Div_16x16_S+0
0x04B4	0x018C    	MOVW       R16, R24
0x04B6	0xE620    	LDI        R18, lo_addr(_arr+0)
0x04B8	0xE030    	LDI        R19, hi_addr(_arr+0)
0x04BA	0x01F8    	MOVW       R30, R16
0x04BC	0x0FE2    	ADD        R30, R18
0x04BE	0x1FF3    	ADC        R31, R19
0x04C0	0x8100    	LD         R16, Z
0x04C2	0x2E40    	MOV        R4, R16
0x04C4	0xE0B2    	LDI        R27, 2
0x04C6	0x2E3B    	MOV        R3, R27
0x04C8	0xE0B1    	LDI        R27, 1
0x04CA	0x2E2B    	MOV        R2, R27
0x04CC	0xDE01    	RCALL      _Lcd_Chr+0
;16x2 lcd library.c,29 :: 		LCD_Chr(1,3,arr[val/10%10]);
0x04CE	0xE04A    	LDI        R20, 10
0x04D0	0xE050    	LDI        R21, 0
0x04D2	0x8108    	LDD        R16, Y+0
0x04D4	0x8119    	LDD        R17, Y+1
0x04D6	0xDDD2    	RCALL      _Div_16x16_S+0
0x04D8	0x018B    	MOVW       R16, R22
0x04DA	0xE04A    	LDI        R20, 10
0x04DC	0xE050    	LDI        R21, 0
0x04DE	0xDDCE    	RCALL      _Div_16x16_S+0
0x04E0	0x018C    	MOVW       R16, R24
0x04E2	0xE620    	LDI        R18, lo_addr(_arr+0)
0x04E4	0xE030    	LDI        R19, hi_addr(_arr+0)
0x04E6	0x01F8    	MOVW       R30, R16
0x04E8	0x0FE2    	ADD        R30, R18
0x04EA	0x1FF3    	ADC        R31, R19
0x04EC	0x8100    	LD         R16, Z
0x04EE	0x2E40    	MOV        R4, R16
0x04F0	0xE0B3    	LDI        R27, 3
0x04F2	0x2E3B    	MOV        R3, R27
0x04F4	0xE0B1    	LDI        R27, 1
0x04F6	0x2E2B    	MOV        R2, R27
0x04F8	0xDDEB    	RCALL      _Lcd_Chr+0
;16x2 lcd library.c,30 :: 		LCD_Chr(1,4,arr[val%10]);
0x04FA	0xE04A    	LDI        R20, 10
0x04FC	0xE050    	LDI        R21, 0
0x04FE	0x8108    	LDD        R16, Y+0
0x0500	0x8119    	LDD        R17, Y+1
0x0502	0xDDBC    	RCALL      _Div_16x16_S+0
0x0504	0x018C    	MOVW       R16, R24
0x0506	0xE620    	LDI        R18, lo_addr(_arr+0)
0x0508	0xE030    	LDI        R19, hi_addr(_arr+0)
0x050A	0x01F8    	MOVW       R30, R16
0x050C	0x0FE2    	ADD        R30, R18
0x050E	0x1FF3    	ADC        R31, R19
0x0510	0x8100    	LD         R16, Z
0x0512	0x2E40    	MOV        R4, R16
0x0514	0xE0B4    	LDI        R27, 4
0x0516	0x2E3B    	MOV        R3, R27
0x0518	0xE0B1    	LDI        R27, 1
0x051A	0x2E2B    	MOV        R2, R27
0x051C	0xDDD9    	RCALL      _Lcd_Chr+0
;16x2 lcd library.c,31 :: 		delay_ms(300);
0x051E	0xE129    	LDI        R18, 25
0x0520	0xE51A    	LDI        R17, 90
0x0522	0xEB02    	LDI        R16, 178
L_main3:
0x0524	0x950A    	DEC        R16
0x0526	0xF7F1    	BRNE       L_main3
0x0528	0x951A    	DEC        R17
0x052A	0xF7E1    	BRNE       L_main3
0x052C	0x952A    	DEC        R18
0x052E	0xF7D1    	BRNE       L_main3
0x0530	0x0000    	NOP
0x0532	0x0000    	NOP
;16x2 lcd library.c,25 :: 		for(val=0; val<100; val++)
0x0534	0x8108    	LDD        R16, Y+0
0x0536	0x8119    	LDD        R17, Y+1
0x0538	0x5F0F    	SUBI       R16, 255
0x053A	0x4F1F    	SBCI       R17, 255
0x053C	0x8308    	STD        Y+0, R16
0x053E	0x8319    	STD        Y+1, R17
;16x2 lcd library.c,32 :: 		}
0x0540	0xCF92    	RJMP       L_main0
L_main1:
;16x2 lcd library.c,33 :: 		}
L_end_main:
0x0542	0x904F    	POP        R4
0x0544	0x903F    	POP        R3
0x0546	0x902F    	POP        R2
L__main_end_loop:
0x0548	0xCFFF    	RJMP       L__main_end_loop
; end of _main
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x0148	0x003591B0  	LDS        R27, LCD_EN+0
0x014C	0x7FBD    	CBR        R27, 2
0x014E	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,87 :: 		
0x0152	0x003591B0  	LDS        R27, LCD_RS+0
0x0156	0x7FBE    	CBR        R27, 1
0x0158	0x003593B0  	STS        LCD_RS+0, R27
;__Lib_Lcd.c,88 :: 		
0x015C	0x003591B0  	LDS        R27, LCD_D7+0
0x0160	0x7DBF    	CBR        R27, 32
0x0162	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,89 :: 		
0x0166	0x003591B0  	LDS        R27, LCD_D6+0
0x016A	0x7EBF    	CBR        R27, 16
0x016C	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,90 :: 		
0x0170	0x003591B0  	LDS        R27, LCD_D5+0
0x0174	0x7FB7    	CBR        R27, 8
0x0176	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,91 :: 		
0x017A	0x003591B0  	LDS        R27, LCD_D4+0
0x017E	0x7FBB    	CBR        R27, 4
0x0180	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,93 :: 		
0x0184	0x003491B0  	LDS        R27, LCD_EN_Direction+0
0x0188	0x60B2    	SBR        R27, 2
0x018A	0x003493B0  	STS        LCD_EN_Direction+0, R27
;__Lib_Lcd.c,94 :: 		
0x018E	0x003491B0  	LDS        R27, LCD_RS_Direction+0
0x0192	0x60B1    	SBR        R27, 1
0x0194	0x003493B0  	STS        LCD_RS_Direction+0, R27
;__Lib_Lcd.c,95 :: 		
0x0198	0x003491B0  	LDS        R27, LCD_D4_Direction+0
0x019C	0x60B4    	SBR        R27, 4
0x019E	0x003493B0  	STS        LCD_D4_Direction+0, R27
;__Lib_Lcd.c,96 :: 		
0x01A2	0x003491B0  	LDS        R27, LCD_D5_Direction+0
0x01A6	0x60B8    	SBR        R27, 8
0x01A8	0x003493B0  	STS        LCD_D5_Direction+0, R27
;__Lib_Lcd.c,97 :: 		
0x01AC	0x003491B0  	LDS        R27, LCD_D6_Direction+0
0x01B0	0x61B0    	SBR        R27, 16
0x01B2	0x003493B0  	STS        LCD_D6_Direction+0, R27
;__Lib_Lcd.c,98 :: 		
0x01B6	0x003491B0  	LDS        R27, LCD_D7_Direction+0
0x01BA	0x62B0    	SBR        R27, 32
0x01BC	0x003493B0  	STS        LCD_D7_Direction+0, R27
;__Lib_Lcd.c,100 :: 		
0x01C0	0xDF55    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,101 :: 		
0x01C2	0xDF54    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,102 :: 		
0x01C4	0xDF53    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,105 :: 		
0x01C6	0x003591B0  	LDS        R27, LCD_D5+0
0x01CA	0x60B8    	SBR        R27, 8
0x01CC	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,106 :: 		
0x01D0	0x003591B0  	LDS        R27, LCD_D4+0
0x01D4	0x60B4    	SBR        R27, 4
0x01D6	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,107 :: 		
0x01DA	0x003591B0  	LDS        R27, LCD_EN+0
0x01DE	0x60B2    	SBR        R27, 2
0x01E0	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,108 :: 		
0x01E4	0xDF37    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,109 :: 		
0x01E6	0x003591B0  	LDS        R27, LCD_EN+0
0x01EA	0x7FBD    	CBR        R27, 2
0x01EC	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,110 :: 		
0x01F0	0xDF3D    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,112 :: 		
0x01F2	0x003591B0  	LDS        R27, LCD_EN+0
0x01F6	0x60B2    	SBR        R27, 2
0x01F8	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,113 :: 		
0x01FC	0xDF2B    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,114 :: 		
0x01FE	0x003591B0  	LDS        R27, LCD_EN+0
0x0202	0x7FBD    	CBR        R27, 2
0x0204	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,115 :: 		
0x0208	0xDF31    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,117 :: 		
0x020A	0x003591B0  	LDS        R27, LCD_EN+0
0x020E	0x60B2    	SBR        R27, 2
0x0210	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,118 :: 		
0x0214	0xDF1F    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,119 :: 		
0x0216	0x003591B0  	LDS        R27, LCD_EN+0
0x021A	0x7FBD    	CBR        R27, 2
0x021C	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,120 :: 		
0x0220	0xDF25    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,123 :: 		
0x0222	0x003591B0  	LDS        R27, LCD_D4+0
0x0226	0x7FBB    	CBR        R27, 4
0x0228	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,124 :: 		
0x022C	0x003591B0  	LDS        R27, LCD_EN+0
